Artist,Song,Total,"Alcool, cigarro e drogas",Criminalidade,Depreciação da mulher,Desencorajamento de Crimes e Drogas,Ego e Poder,Interesses Sexuais,Luta de Classes e Questões Raciais,Ostentação,"Política, Militares e Políticos",Rap com instrumento social,Resiliência e Boas Virtudes,Respeito e Valorização a mulher
BK,Cacos de Vidro,1685,0,0,0,0,0,0,0,0,0,175,413,0
BK,Não adianta chorar,1823,0,0,0,0,934,0,0,0,0,0,358,0
BK,Só eu sei,1922,0,0,0,0,74,0,0,0,0,0,1184,0
BK,Só quero ver,1800,0,0,0,0,543,0,0,0,0,0,0,0
BK,Você pode ir além,1887,0,0,0,0,278,0,0,0,0,0,680,0
DJONGA,Demoro a dormir,2816,0,0,0,0,83,0,153,0,86,0,621,0
DJONGA,Fome,3393,0,118,0,0,242,0,529,0,35,54,461,0
DJONGA,João e Maria,3059,0,0,0,0,362,0,1013,35,71,0,528,0
DJONGA,Melhor que ontem,2400,0,0,0,0,32,0,0,0,0,0,0,1076
DJONGA,PPRT,2412,0,0,76,0,848,23,105,78,0,0,251,0
Filipe Ret,Acima de mim só Deus,1208,108,0,39,0,575,0,0,27,0,0,129,0
Filipe Ret,Da onde eu venho,1206,25,13,42,0,277,0,0,0,0,0,184,81
Filipe Ret,Emoções,1235,171,0,0,0,323,136,0,60,0,0,84,28
Filipe Ret,Não sou Daqui,1607,83,0,39,0,372,0,0,16,0,0,383,102
Filipe Ret,Vida Eterna,1204,20,0,0,0,115,28,0,0,0,0,418,0
L7NNON,Desacreditado,1976,0,429,74,45,95,0,0,161,0,0,113,0
L7NNON,Foto da unha,2241,35,0,354,0,81,0,0,268,0,0,35,500
L7NNON,Posturado e Calmo,1658,0,0,0,0,0,37,0,43,0,0,0,142
L7NNON,Richard Mille,1813,0,0,132,0,263,21,0,659,0,0,168,0
L7NNON,Vamo marolar,1666,0,0,0,0,151,0,0,591,0,0,117,0
Matuê,1993,1008,82,0,41,0,302,0,0,29,0,0,60,0
Matuê,333,2075,33,0,0,0,311,0,0,72,0,0,322,0
Matuê,Crack com Mussilon,1984,415,84,192,0,96,208,40,361,0,0,211,62
Matuê,Imagina esse cenário,1747,136,0,0,0,172,0,0,82,0,0,191,0
Matuê,Isso é sério,3205,65,34,39,0,580,137,0,1722,0,0,31,0
MC Cabelinho,Bala e Fogo,2042,0,96,156,0,792,0,0,141,0,0,29,0
MC Cabelinho,Carta Aberta,1631,0,0,0,0,807,0,0,0,0,0,338,81
MC Cabelinho,Garrafa vazia,1584,58,0,21,0,0,0,0,0,0,0,88,26
MC Cabelinho,nssmnsb,1896,0,15,247,0,389,0,0,165,0,0,116,0
MC Cabelinho,Terminei Recentemente,1425,139,0,0,0,161,340,0,0,0,0,93,0
MC PH,Dentro da mala,2189,0,75,195,0,194,0,0,505,0,0,154,0
MC PH,Love Love,2234,64,0,1260,0,0,91,0,0,0,0,0,150
MC PH,Me chama pelo meu vulgo,1397,116,0,42,0,0,481,0,0,0,0,0,47
MC PH,Vem desestressar,2274,75,77,245,0,46,647,0,0,0,0,72,361
Orochi,Capa da Vogue,3305,157,0,1110,0,149,984,0,122,0,0,40,339
Orochi,Depois que Terminou,1527,0,0,165,0,855,350,0,0,0,0,0,0
Orochi,Ela só pensa em sexo,1671,86,0,275,0,486,315,0,112,41,0,0,0
Orochi,Fashion,1599,38,0,64,0,0,70,0,0,0,0,38,713
Orochi,Sangessuga,1927,43,0,802,0,397,88,0,99,69,0,43,0
Oruam,22 Meu vulgo,1485,0,97,190,0,337,91,0,70,0,0,157,0
Oruam,Audi Blue,1766,9,157,249,0,119,269,0,214,0,0,0,52
Oruam,Avançando Muito,2025,0,428,12,0,350,56,0,0,0,0,177,0
Oruam,Lei Anti Oruam,1731,0,141,0,0,265,96,218,0,0,0,111,0
Oruam,Madrugada é solidão,2347,200,348,34,0,173,0,51,15,30,0,282,85
Sabotage,Cocaína,3924,257,232,0,2219,0,0,93,0,0,30,123,0
Sabotage,No Brooklin,4033,218,362,0,199,77,0,86,0,380,225,384,0
Sabotage,Rap é Compromisso,3190,160,1170,0,163,0,0,0,0,110,360,0,0
Sabotage,Repeito é pra quem tem,4434,164,170,0,254,41,0,0,0,543,132,2040,0
Sabotage,Um Bom Lugar,4042,0,0,0,88,54,0,0,0,277,419,754,0
TZ DA CORONEL,Acordado eu Sonho,1713,144,50,20,0,215,0,39,0,0,0,113,0
TZ DA CORONEL,Ando só,1987,0,32,0,0,154,0,0,0,0,0,130,0
TZ DA CORONEL,Mente além,2535,135,7,0,0,214,0,0,0,0,0,320,0
TZ DA CORONEL,Não temos medo,2090,0,39,0,0,61,0,283,23,0,0,722,0
TZ DA CORONEL,Qual é seu desejo,1799,168,124,290,0,159,39,0,218,0,0,98,21
Veigh,Londres Freestyle,1436,35,0,165,0,244,229,0,128,0,0,0,0
Veigh,Mandraka,1257,242,0,246,0,0,231,0,162,0,0,56,124
Veigh,Meio Pá,1874,25,0,142,0,271,54,0,0,0,0,209,98
Veigh,Perdoa por tudo vida,1406,0,0,189,0,55,156,0,0,0,0,0,218
Veigh,Vida Chique,2254,92,22,371,0,114,841,0,44,0,0,18,0
